SiteID,1686275,Site Timezone,-6,Data Timezone,-6,Longitude,-87.7298278809,Latitude,43.8935852051
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2009,1,7,3,30,N/A,99.99000000000001,2.11,-2.58,96080,N/A
2009,1,7,4,30,N/A,49.38,1.74,-2.83,96020,N/A
2009,1,7,5,30,N/A,21.07,1.86,-2.79,95960,N/A
2009,1,7,6,30,N/A,351.11,2.84,-2.95,95910,N/A
2009,1,7,7,30,N/A,350.79,3.66,-2.87,95860,N/A
2009,1,7,8,30,N/A,349.32,4.65,-2.84,95810,N/A
2009,1,7,9,30,N/A,335.72,4.68,-2.92,95790,N/A
2009,1,7,10,30,N/A,324.29,4.33,-3.11,95750,N/A
2009,1,7,11,30,N/A,325.26,4.15,-2.44,95740,N/A
2009,1,7,12,30,N/A,319.95,4.65,-2.24,95750,N/A
2009,1,7,13,30,N/A,305.56,5.72,-2.19,95750,N/A
2009,1,7,14,30,N/A,309.23,6.92,-2.25,95790,N/A
2009,1,7,15,30,N/A,300.78000000000003,7.05,-2.49,95840,N/A
2009,1,7,16,30,N/A,303.41,8.07,-3.18,95900,N/A
2009,1,7,17,30,N/A,303.72,9.3,-3.5300000000000002,95950,N/A
2009,1,7,18,30,N/A,303.22,9.53,-3.73,96010,N/A
2009,1,7,19,30,N/A,304.03000000000003,10,-3.96,96080,N/A
2009,1,7,20,30,N/A,301.36,9.97,-4.5200000000000005,96140,N/A
2009,1,7,21,30,N/A,304.40000000000003,10.17,-4.8500000000000005,96190,N/A
2009,1,7,22,30,N/A,304.68,10.89,-5.2,96230,N/A
2009,1,7,23,30,N/A,311.38,11.16,-5.55,96320,N/A
2009,1,8,0,30,N/A,312.98,11.4,-5.75,96420,N/A
2009,1,8,1,30,N/A,313.33,10.9,-6.11,96520,N/A
2009,1,8,2,30,N/A,310.79,11.15,-6.7,96610,N/A
2009,1,8,3,30,N/A,306.18,11.02,-7.22,96700,N/A
2009,1,8,4,30,N/A,302.78000000000003,11.06,-7.7,96790,N/A
2009,1,8,5,30,N/A,300.64,10.61,-8.040000000000001,96890,N/A
2009,1,8,6,30,N/A,303.33,10.58,-8.03,97000,N/A
2009,1,8,7,30,N/A,306.75,10.48,-7.75,97110,N/A
2009,1,8,8,30,N/A,312.64,9.48,-7.34,97200,N/A
2009,1,8,9,30,N/A,313.2,8.370000000000001,-6.49,97300,N/A
2009,1,8,10,30,N/A,309.09000000000003,8.46,-6.3500000000000005,97360,N/A
2009,1,8,11,30,N/A,301.44,7.640000000000001,-6.38,97440,N/A
2009,1,8,12,30,N/A,300.65000000000003,7.53,-6.38,97490,N/A
2009,1,8,13,30,N/A,294.79,7.94,-6.58,97540,N/A
2009,1,8,14,30,N/A,286.7,8.01,-7.11,97610,N/A
2009,1,8,15,30,N/A,283.96,7.5600000000000005,-7.67,97660,N/A
2009,1,8,16,30,N/A,287.91,9.86,-8.55,97720,N/A
2009,1,8,17,30,N/A,294.78000000000003,10.77,-8.99,97770,N/A
2009,1,8,18,30,N/A,297.41,9.9,-9.11,97850,N/A
2009,1,8,19,30,N/A,298.7,9.07,-9.76,97920,N/A
2009,1,8,20,30,N/A,296.67,8.620000000000001,-10.51,97950,N/A
2009,1,8,21,30,N/A,299.90000000000003,9.88,-10.81,97970,N/A
2009,1,8,22,30,N/A,304.24,9.39,-11.11,98010,N/A
2009,1,8,23,30,N/A,314.21,8.33,-11.26,98060,N/A
2009,1,9,0,30,N/A,312.35,7.12,-11.35,98130,N/A
2009,1,9,1,30,N/A,308.56,5.28,-11.78,98180,N/A
2009,1,9,2,30,N/A,294.89,4.14,-11.97,98230,N/A
2009,1,9,3,30,N/A,300.11,4.37,-11.67,98270,N/A
2009,1,9,4,30,N/A,302.83,4.12,-11.450000000000001,98300,N/A
2009,1,9,5,30,N/A,324.90000000000003,3.31,-11.32,98320,N/A
2009,1,9,6,30,N/A,327.73,1.61,-11.5,98390,N/A
2009,1,9,7,30,N/A,329.87,1.6600000000000001,-11.33,98440,N/A
2009,1,9,8,30,N/A,10.49,2.41,-11.23,98480,N/A
2009,1,9,9,30,N/A,13.27,2.09,-10.76,98510,N/A
2009,1,9,10,30,N/A,22.61,1.97,-9.94,98520,N/A
